"","plot","troph","sum"
"565",37,na,4986
"566",37,Pathotroph,171
"567",37,Saprotroph,1077
"568",37,Symbiotroph,0
"569",38,na,1198
"570",38,Pathotroph,46
"571",38,Saprotroph,259
"572",38,Symbiotroph,0
"573",39,na,2513
"574",39,Pathotroph,49
"575",39,Saprotroph,601
"576",39,Symbiotroph,0
"577",40,na,1009
"578",40,Pathotroph,67
"579",40,Saprotroph,413
"580",40,Symbiotroph,0
"581",41,na,3568
"582",41,Pathotroph,135
"583",41,Saprotroph,566
"584",41,Symbiotroph,0
"585",42,na,1018
"586",42,Pathotroph,54
"587",42,Saprotroph,260
"588",42,Symbiotroph,0
"589",43,na,2518
"590",43,Pathotroph,55
"591",43,Saprotroph,616
"592",43,Symbiotroph,3
"593",44,na,3540
"594",44,Pathotroph,107
"595",44,Saprotroph,497
"596",44,Symbiotroph,7
"597",45,na,2975
"598",45,Pathotroph,122
"599",45,Saprotroph,572
"600",45,Symbiotroph,6
"601",46,na,9554
"602",46,Pathotroph,201
"603",46,Saprotroph,2013
"604",46,Symbiotroph,50
"605",47,na,5198
"606",47,Pathotroph,92
"607",47,Saprotroph,579
"608",47,Symbiotroph,0
"609",48,na,6378
"610",48,Pathotroph,145
"611",48,Saprotroph,1207
"612",48,Symbiotroph,5
"613",49,na,5489
"614",49,Pathotroph,242
"615",49,Saprotroph,608
"616",49,Symbiotroph,0
"617",50,na,8801
"618",50,Pathotroph,330
"619",50,Saprotroph,2025
"620",50,Symbiotroph,0
"621",51,na,3814
"622",51,Pathotroph,242
"623",51,Saprotroph,1183
"624",51,Symbiotroph,32
"625",52,na,9421
"626",52,Pathotroph,1238
"627",52,Saprotroph,1287
"628",52,Symbiotroph,49
"629",53,na,9609
"630",53,Pathotroph,809
"631",53,Saprotroph,1127
"632",53,Symbiotroph,0
"633",54,na,2949
"634",54,Pathotroph,101
"635",54,Saprotroph,274
"636",54,Symbiotroph,8
"637",55,na,8912
"638",55,Pathotroph,803
"639",55,Saprotroph,2562
"640",55,Symbiotroph,29
"641",56,na,8729
"642",56,Pathotroph,502
"643",56,Saprotroph,1160
"644",56,Symbiotroph,0
"645",57,na,7083
"646",57,Pathotroph,224
"647",57,Saprotroph,1640
"648",57,Symbiotroph,9
"649",58,na,9148
"650",58,Pathotroph,483
"651",58,Saprotroph,1119
"652",58,Symbiotroph,6
"653",59,na,5903
"654",59,Pathotroph,284
"655",59,Saprotroph,408
"656",59,Symbiotroph,0
"657",60,na,5650
"658",60,Pathotroph,167
"659",60,Saprotroph,464
"660",60,Symbiotroph,12
"661",61E,na,3620
"662",61E,Pathotroph,579
"663",61E,Saprotroph,1491
"664",61E,Symbiotroph,2296
"665",62E,na,3481
"666",62E,Pathotroph,457
"667",62E,Saprotroph,1452
"668",62E,Symbiotroph,1971
"669",63E,na,2240
"670",63E,Pathotroph,380
"671",63E,Saprotroph,1087
"672",63E,Symbiotroph,1757
"673",64E,na,4563
"674",64E,Pathotroph,779
"675",64E,Saprotroph,1933
"676",64E,Symbiotroph,2573
"677",65E,na,3370
"678",65E,Pathotroph,738
"679",65E,Saprotroph,1206
"680",65E,Symbiotroph,1702
"681",66E,na,2455
"682",66E,Pathotroph,258
"683",66E,Saprotroph,732
"684",66E,Symbiotroph,973
"685",67E,na,2381
"686",67E,Pathotroph,855
"687",67E,Saprotroph,1103
"688",67E,Symbiotroph,2026
"689",68E,na,2600
"690",68E,Pathotroph,757
"691",68E,Saprotroph,1105
"692",68E,Symbiotroph,1544
"693",69E,na,2052
"694",69E,Pathotroph,694
"695",69E,Saprotroph,846
"696",69E,Symbiotroph,2736
"697",70E,na,2096
"698",70E,Pathotroph,608
"699",70E,Saprotroph,1135
"700",70E,Symbiotroph,1982
"701",71E,na,2258
"702",71E,Pathotroph,621
"703",71E,Saprotroph,1026
"704",71E,Symbiotroph,1565
"705",72E,na,2557
"706",72E,Pathotroph,938
"707",72E,Saprotroph,1259
"708",72E,Symbiotroph,2467
"709",85E,na,5885
"710",85E,Pathotroph,555
"711",85E,Saprotroph,1742
"712",85E,Symbiotroph,1053
"713",86E,na,6035
"714",86E,Pathotroph,515
"715",86E,Saprotroph,1839
"716",86E,Symbiotroph,890
"717",88E,na,6088
"718",88E,Pathotroph,350
"719",88E,Saprotroph,2218
"720",88E,Symbiotroph,1202
"721",89E,na,7863
"722",89E,Pathotroph,424
"723",89E,Saprotroph,2560
"724",89E,Symbiotroph,738
"725",90E,na,3609
"726",90E,Pathotroph,470
"727",90E,Saprotroph,1199
"728",90E,Symbiotroph,820
"729",91E,na,2963
"730",91E,Pathotroph,815
"731",91E,Saprotroph,1321
"732",91E,Symbiotroph,1443
"733",92E,na,4714
"734",92E,Pathotroph,973
"735",92E,Saprotroph,1634
"736",92E,Symbiotroph,1200
"737",93E,na,2023
"738",93E,Pathotroph,731
"739",93E,Saprotroph,949
"740",93E,Symbiotroph,1175
"741",94E,na,2833
"742",94E,Pathotroph,1364
"743",94E,Saprotroph,1653
"744",94E,Symbiotroph,1834
"745",95E,na,3757
"746",95E,Pathotroph,442
"747",95E,Saprotroph,2129
"748",95E,Symbiotroph,1113
"749",96E,na,3202
"750",96E,Pathotroph,1037
"751",96E,Saprotroph,1269
"752",96E,Symbiotroph,2254
"753",97E,na,3808
"754",97E,Pathotroph,219
"755",97E,Saprotroph,2246
"756",97E,Symbiotroph,664
"757",98E,na,3411
"758",98E,Pathotroph,143
"759",98E,Saprotroph,1542
"760",98E,Symbiotroph,347
"761",99E,na,4381
"762",99E,Pathotroph,425
"763",99E,Saprotroph,2201
"764",99E,Symbiotroph,1277
